,RPT_REC_NUM,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE-Employees  on Payroll,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),"Hospital Total Days Title XIX for
Adults & Peds",Hospital Total Days (V + XVIII + XIX + Unknown) for Adults & Peds,"Hospital Total Discharges Title XIX for
Adults & Peds",Hospital Total Discharges (V + XVIII + XIX + Unknown) for Adult,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated  Care,"Total Unreimbursed  and
Uncompensated  Care",Total Salaries From Worksheet A,Total Costs,Inpatient Total Charges,Outpatient Total Charges,"Combined Outpatient + Inpatient
Total Charges",Wage-related  Costs (core),Wage-related  costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Disproportionate Share Adjustment,Allowable DSH Percentage,Inpatient Revenue,Outpatient Revenue,Gross Revenue,"Less Contractual Allowance and
Discounts on Patients' Accounts",Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
1948,705642,340186,VIDANT BEAUFORT HOSPITAL,628 E. 12TH STREET,WASHINGTON,NC,27889,,99934,2,1,2,10/01/2018,09/30/2019,446.24,2105,13751,72,26280,561,2944,1600,12025,561,2944,3577464,7824171,7555329,9817952,26431276,73079195,71462519,148873793,220336312,6254593,,26431276,431902,284134,.1133,71462518,148873793,220336311,136468804,83867507,88679624,-4812117,2256613,-2555504,,-2555504,.328319
1979,705870,340039,IREDELL MEMORIAL HOSPITAL,557 BROOKDALE DRIVE,STATESVILLE,NC,28677-,IREDELL,16740,1,1,2,10/01/2018,09/30/2019,1191.4,4394,35213,155,56575,1011,7574,2970,29431,1011,7574,2124101,19790311,7127599,7136697,83139377,142550442,298099476,307325173,605424649,13848717,,82899490,367700,281494,.049,300549615,327356209,627905824,445302122,182603702,179525247,3078455,4275278,7353733,,7353733,.230444
2118,706341,340142,CARTERET COUNTY GENERAL HOSPITAL COM,3500 ARENDELL STREET,MOREHEAD CITY,NC,28557-,CARTERET,99934,2,1,8,10/01/2018,09/30/2019,939.3,3064,25591,99,36135,881,5959,2218,22284,881,5959,946345,26010150,9150527,11277517,59739079,132458535,125177751,312985275,438163026,12101467,,59739079,1616437,224444,.0474,133972345,328372251,462344596,287541159,174803437,150621191,24182246,9700929,33883175,,33883175,.298245
2218,706823,340041,CALDWELL MEMORIAL HOSPITAL,321 MULBERRY STREET,LENOIR,NC,28645-,CALDWELL,25860,1,1,2,07/01/2019,06/30/2020,705.21,3100,17875,110,40260,898,3754,2138,13846,898,3754,2894152,12787461,7303918,7419250,54182756,96334842,103126917,237357177,340484094,12429347,,53956527,793097,267957,.1066,104021099,267760516,371781615,258327453,113454162,129149859,-15695697,13370740,-2324957,,-2324957,.279721
2219,706824,340047,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BLVD,WINSTON-SALEM,NC,27157-,FORSYTH,49180,1,1,1,07/01/2019,06/30/2020,8189.85,55519,225321,804,293464,8793,39579,20576,109725,8793,39579,50367684,95810123,75615955,79868281,540947643,1511592448,2879398471,3361602131,6241000602,156873347,,544193077,21882427,4962242,.1885,6008183662,234259062,6242442724,4512852894,1729589830,1864864370,-135274540,191636303,56361763,,56361763,.240092
2220,706825,340053,PRESBYTERIAN HOSPITAL,200 HAWTHORNE LANE,CHARLOTTE,NC,28231-1726,MECKLENBURG,16740,1,1,2,01/01/2019,12/31/2019,3720.56,31348,158617,521,190165,6098,28574,25416,135368,6098,28574,24610051,50895361,39076248,47450521,311234590,845257842,1702901638,1718850064,3421751702,65559719,,311058352,7610979,2879921,.1597,1726018232,1806443185,3532461417,2395809520,1136651897,1051266318,85385579,17547913,102933492,1005,102932487,.242925
2221,706826,340144,DAVIS REGIONAL MEDICAL CENTER,218 OLD MOCKSVILLE RD,STATESVILLE,NC,28625,IREDELL,16740,1,1,4,10/01/2018,09/30/2019,308.61,2421,13432,132,48180,1165,3244,1455,10900,1165,3244,2359539,12795840,4314053,4314053,19072448,50242700,121933500,230980520,352914020,3662896,,19072448,704260,349906,.2755,121848900,231065120,352914020,295512240,57401780,56612165,789615,218207,1007822,,1007822,.138918
2222,706827,340147,NASH HOSPITALS INC,2460 CURTIS ELLIS DR,ROCKY MOUNT,NC,27804,NASH,40580,1,1,9,07/01/2019,06/30/2020,1559,9354,52232,322,117852,2632,11938,6170,44552,2632,11938,2952962,71552349,20457477,20555090,98892247,208484673,378914057,583935805,962849862,21718651,,90025197,6272709,1791383,.2196,376549829,590969863,967519692,693205264,274314428,278448224,-4133796,12303292,8169496,,8169496,.212798
2223,706829,340159,PERSON MEMORIAL HOSPITAL INC,615 RIDGE ROAD,ROXOBORO,NC,27573,PERSON,20500,1,1,4,07/01/2019,06/30/2020,155.2,273,3290,38,13908,95,935,181,2233,95,935,920249,6064251,1964299,2798648,11077960,23913354,39435378,105175139,144610517,1735049,,11077960,,31193,.0546,39571705,111748972,151320677,121809957,29510720,35546410,-6035690,222063,-5813627,,-5813627,.161734
2224,706830,340171,PRESBYTERIAN HOSPITAL MATTHEWS,1500 MATTHEWS TOWNSHIP PARKWAY,MATTHEWS,NC,28105,MECKLENBURG,16740,1,1,2,01/01/2019,12/31/2019,852.23,4579,44569,123,44895,1565,10479,2476,35831,1565,10479,7023877,19775854,12089327,12089327,61922959,165135497,400779511,461957171,862736682,15869339,,62956224,1271375,253201,.0382,405167211,467321092,872488303,610557674,261930629,199433969,62496660,930339,63426999,,63426999,.184496
2225,706831,340183,PRESBYTERIAN HOSPITAL HUNTERSVILLE,10030 GILEAD ROAD,HUNTERSVILLE,NC,28078,MECKLENBURG,16740,1,1,2,01/01/2019,12/31/2019,648.99,3659,29610,139,50735,1137,9192,1986,21021,1137,9192,4318435,15043024,7283218,8827561,51223768,142427294,278403656,434826983,713230639,11599507,,51265691,1722492,200613,.0464,283712735,442682125,726394860,483694296,242700564,173690058,69010506,854908,69865414,,69865414,.19166
2296,707067,340129,LAKE NORMAN REGIONAL MEDICAL CENTER,171 FAIRVIEW RD,MOORESVILLE,NC,28117,IREDELL,16740,1,1,4,10/01/2018,09/30/2019,428.78,2050,15750,123,44895,445,5391,1196,11162,445,5391,2288121,15564224,4324069,4783004,27673532,88970112,295492341,420559940,716052281,5823605,,27673532,1424302,141770,.0439,295499776,420552505,716052281,592215037,123837244,93046753,30790491,403930,31194421,,31194421,.120426
2589,708016,340003,NORTHERN HOSP OF SURRY CO,830 ROCKFORD STREET,MOUNT AIRY,NC,27030,SURRY,99934,2,1,11,10/01/2018,09/30/2019,680.51,1633,14320,100,36500,702,3476,1082,11431,702,3476,3012557,8817796,6331518,6331518,44897044,73448387,60439015,151416208,211855223,7108901,,44897044,2244486,183589,.084,61542412,180460924,242003336,151173056,90830280,98239198,-7408918,10289974,2881056,,2881056,.341608
2590,708018,340051,WATAUGA MEDICAL CENTER,336 DEERFIELD ROAD,BOONE,NC,28607-,WATAUGA,99934,2,1,9,10/01/2018,09/30/2019,602,1966,15155,95,34675,688,4318,1229,12274,688,4318,2646229,15907237,7366300,7520446,42918392,110266703,123293984,268148354,391442338,7675924,,42918392,876889,292375,.0809,130808778,281168868,411977646,263443855,148533791,131748866,16784925,9316751,26101676,21022255,5079421,.277155
2591,708022,340132,MARIA PARHAM MEDICAL CENTER,566 RUIN CREEK ROAD,HENDERSON,NC,27536-,VANCE,99934,2,1,4,11/01/2018,10/31/2019,588.41,3414,16691,91,33215,1330,4069,1951,9723,1330,4069,610198,36540812,7433971,7959394,40074604,91787855,152393098,383466702,535859800,6821292,,40074604,3022230,555358,.1794,152447491,401823099,554270590,433717684,120552906,120152016,400890,4847435,5248325,,5248325,.16878
2592,708023,340141,NEW HANOVER REGIONAL MEDICAL CENTER,2131 S. 17TH ST,WILMINGTON,NC,28402,NEW HANOVER,48900,2,1,9,10/01/2018,09/30/2019,5363.92,37718,192812,677,247116,7019,35953,22115,154768,7019,35953,18646876,100628701,44141209,44824200,380004690,900281958,1829301783,2044843582,3874145365,96799732,,380004690,2014130,4418350,.12,1834913544,2136558045,3971471589,2858827573,1112644016,1069291812,43352204,63755071,107107275,839611,106267664,.230993
2593,708024,340184,HAYWOOD REGIONAL MEDICAL CENTER,262 LEROY GEORGE DRIVE,CLYDE,NC,28721-,HAYWOOD,11700,1,1,4,08/01/2019,07/31/2020,717.46,2124,15080,122,44652,644,3881,1097,12619,644,3881,3640081,18802827,7417959,8972441,53586307,93189520,156956759,333452250,490409009,8428487,,53586307,510616,273496,.0793,157714875,364104803,521819678,391965261,129854417,132702655,-2848238,5461978,2613740,,2613740,.185922
2854,708825,340060,UNC ROCKINGHAM HOSPITAL,117 EAST KINGS HWY,EDEN,NC,27288-,ROCKINGHAM,24660,1,1,2,07/01/2019,06/30/2020,286.74,1601,9724,108,39528,665,2682,1045,7192,665,2682,411962,12823757,4997142,5058453,21477515,54800809,63671525,91606871,155278396,4569031,,21473495,444903,146013,.1246,63663360,91726455,155389815,103958884,51430931,60690574,-9259643,12614779,3355136,2715050,640086,.34625
2855,708827,340070,ALAMANCE REGIONAL MEDICAL CENTER,1240 HUFFMAN MILL ROAD,BURLINGTON,NC,27215,ALAMANCE,15500,1,1,2,10/01/2018,09/30/2019,1297.64,7462,38961,176,64240,2246,10818,3849,30331,2246,10818,10048154,35033857,20082583,21077520,86422803,237342754,273886849,549725248,823612097,18947598,,86422803,624130,668645,.1282,279419387,560848153,840267540,529009556,311257984,219814806,91443178,8306144,99749322,,99749322,.282694
2856,708828,340090,JOHNSTON HEALTH,509 NORTH BRIGHTLEAF BLVD,SMITHFIELD,NC,27577,JOHNSTON,39580,1,1,11,07/01/2019,06/30/2020,1176,8514,37854,179,65514,3304,11344,5753,31572,3304,11344,5148737,48850431,17869530,19810070,83487007,208551740,373780099,636988439,1010768538,20359476,,83487007,1895843,1009125,.1619,373780100,658054929,1031835029,806222522,225612507,226695298,-1082791,19703045,18620254,13614109,5006145,.201816
2857,708829,340099,VIDANT ROANOKE CHOWAN HOSPITAL,500 SOUTH ACADEMY STREET,AHOSKIE,NC,27910,HERTFORD,99934,2,1,2,10/01/2018,09/30/2019,434.99,2166,13459,70,25550,736,3274,1396,10475,736,3274,2173955,12650412,9374441,12411959,28102540,70754829,88938079,122980779,211918858,7945162,,28102540,1229185,312380,.12,88938079,122980779,211918858,126879626,85039232,88798854,-3759622,1415316,-2344306,,-2344306,.325261
2858,708830,340109,SENTARA ALBEMARLE REGL MED CTR LLC,1144 NORTH ROAD STREET,ELIZABETH CITY,NC,27909,PASQUOTANK,99934,2,1,2,01/01/2019,12/31/2019,545.63,2102,18346,91,33215,809,4709,1532,15523,809,4709,5459969,20123136,12156121,16315200,34234601,109294783,142310386,259104033,401414419,11926201,,35731255,557196,393984,.0913,137371922,263413236,400785158,281379007,119406151,108068109,11338042,342001,11680043,,11680043,.261035
2859,708831,340116,FRYE REGIONAL MEDICAL CENTER,420 NORTH CENTER STREET,HICKORY,NC,28601,CATAWBA,25860,2,1,4,10/01/2018,09/30/2019,1083.84,3893,31546,226,82490,,7258,2912,25686,,7258,4062158,20603062,7568167,7836233,85196830,185292072,575947136,690418787,1266365923,13289992,,85196830,4043636,260241,.04,577877344,745714618,1323591962,1082765815,240826147,238926815,1899332,1287884,3187216,,3187216,.143723
2860,708832,340120,DUPLIN GENERAL HOSPITAL,HIGHWAY 11  NORTH MAIN STREET,KENANSVILLE,NC,28349,DUPLIN,99934,2,1,2,10/01/2018,09/30/2019,330.94,2361,10836,49,17885,931,2562,1252,8036,931,2562,4131950,8067634,8326002,9792673,21756774,49125625,64981058,93035812,158016870,5056798,,21756774,56697,196801,.12,64981059,93035812,158016871,97333775,60683096,59347935,1335161,1345341,2680502,,2680502,.305727
3051,709205,340016,HARRIS REGIONAL HOSPITAL,68 HOSPITAL ROAD,SYLVA,NC,28779-,JACKSON,99934,2,1,4,08/01/2019,07/31/2020,605.4,2110,10717,82,30012,1172,2825,1900,8309,1172,2825,2772163,15062304,6056633,6635711,41222488,65327477,114631865,238406632,353038497,7881217,,41222488,947344,292267,.12,114855047,265508381,380363428,283019271,97344157,105269640,-7925483,10301033,2375550,,2375550,.182919
3052,709206,340023,ADVENTHEALTH HENDERSONVILLE,100 HOSPITAL DRIVE,HENDERSONVILLE,NC,28792-,HENDERSON,11700,1,1,1,01/01/2019,12/31/2019,921.35,1778,14011,73,26645,732,3750,1051,12200,732,3750,5277683,10067327,8443751,10728265,78982626,145445465,177771229,381433877,559205106,9436497,,78976565,8380789,360483,.1288,116817018,536661344,653478362,444922909,208555453,194903119,13652334,23129580,36781914,,36781914,.258001
3053,709211,340084,ATRIUM HEALTH ANSON,2301 US HIGHWAY 74 WEST,WADESBORO,NC,28170-,ANSON,99934,2,1,11,01/01/2019,12/31/2019,116.08,145,1117,15,5475,62,416,145,1117,62,416,2108163,6572054,3492126,5841156,7372285,17046110,9926584,85766612,95693196,1861358,,7372285,,17524,.12,11174773,87489466,98664239,78812435,19851804,18291505,1560299,737777,2298076,,2298076,.170071
3054,709215,340126,WILSON MEDICAL CENTER,1705 SOUTH TARBORO STREET,WILSON,NC,27893,WILSON,99934,1,1,2,03/01/2019,02/29/2020,719.48,5230,25054,270,98820,1777,6414,3238,21742,1777,6414,2647407,29868359,7455820,7455820,47907023,88877863,246443216,366601680,613044896,8682749,,47907023,,911594,.1774,255597076,377155414,632752490,499938903,132813587,129643105,3170482,2780448,5950930,,5950930,.142412
3146,709426,340020,CENTRAL CAROLINA HOSPITAL,1135 CARTHAGE STREET,SANFORD,NC,27330,LEE,99934,2,1,4,01/01/2019,12/31/2019,480,2819,12879,127,46355,1034,3796,1741,9370,1034,3796,2444556,11844501,4605967,4618346,30314899,62095789,154962558,259071952,414034510,5033104,,30314899,1808981,313537,.12,155257761,278461843,433719604,355869547,77850057,80414099,-2564042,3939663,1375621,,1375621,.145196
3147,709427,340021,ATRIUM HEALTH CLEVELAND,201 EAST GROVER STREET,SHELBY,NC,28150,CLEVELAND,99934,2,1,11,01/01/2019,12/31/2019,1184.59,8196,44574,308,98216,2917,10536,4500,26994,2917,10536,15583030,42635668,24358908,29767216,75056109,216715058,425265514,740061488,1165327002,17736053,,75043439,3336087,901364,.1279,435669239,730151765,1165821004,906462379,259358625,222698203,36660422,50212553,86872975,12622585,74250390,.181246
3148,709428,340027,LENOIR MEMORIAL HOSPITAL,100 AIRPORT ROAD,KINSTON,NC,28501,LENOIR,99934,2,1,2,07/01/2019,06/30/2020,755.18,3956,22452,150,54900,1262,4956,2800,19027,1262,4956,1265076,31783604,13368984,13468910,46284176,99367936,107929279,163270447,271199726,10290356,,46206683,3696438,574689,.142,108602890,164151423,272754313,170698360,102055953,108409116,-6353163,14710108,8356945,7187619,1169326,.355059
3149,709429,340042,ONSLOW MEMORIAL HOSPITAL,241 NEW RIVER DRIVE,JACKSONVILLE,NC,28540,ONSLOW,27340,1,1,9,10/01/2018,09/30/2019,877.5,7171,30840,162,59130,2274,7706,3981,24319,2274,7706,4202819,40363641,18408210,25198679,49782514,123828278,134158157,310293401,444451558,14493498,,49782514,1288335,717498,.1815,133828156,310623402,444451558,299536903,144914655,142580901,2333754,5148611,7482365,3908638,3573727,.273956
3266,709916,344030,STRATEGIC BEHAVIORAL CENTER LELAND,2050 MERCANTILE DRIVE,LELAND,NC,28451,BRUNSWICK,34820,1,4,4,01/01/2019,12/31/2019,104.5,5576,12199,40,14600,381,733,5576,12199,381,733,,,,,9531804,16600834,46209500,,46209500,,,,,,,47082765,,47082765,26037677,21045088,16981716,4063372,527211,4590583,,4590583,
3306,710027,344028,STRATEGIC BEHAVIORAL HEALTH- RALEIGH,3200 WATERFIELD ROAD,GARNER,NC,27529,WAKE,39580,1,4,1,01/01/2019,12/31/2019,111.7,7500,11874,56,20440,564,932,7500,11874,564,932,,,,,11376282,19860298,40451400,,40451400,,,,,,,42091775,,42091775,25060734,17031041,20639033,-3607992,414427,-3193565,,-3193565,
3356,710257,344032,TRIANGLE SPRINGS,10901 WORLD TRADE BLVD,RALEIGH,NC,27617,WAKE,39580,1,4,4,01/01/2019,12/31/2019,131.42,73,18458,77,28105,8,2534,73,18458,8,2534,,,,,8738741,16374176,36916000,5487000,42403000,,,,,,,36916000,9142315,46058315,31015305,15043010,16643860,-1600850,32103,-1568747,,-1568747,
3601,711963,340049,NORTH CAROLINA SPECIALTY HOSPITAL,3916 BEN FRANKLIN BLVD,DURHAM,NC,27701,DURHAM,20500,1,1,4,01/01/2019,12/31/2019,189.92,71,3073,18,6570,41,1608,71,3073,41,1608,136342,1224276,594479,1250365,13047728,49619367,56535395,71583469,128118864,2622833,,13047728,477018,,,56535394,71583470,128118864,69511126,58607738,50465311,8142427,1584514,9726941,47825,9679116,.379138
3721,712840,342018,SSH - DURHAM,3643 NORTH ROXBORO RD,DURHAM,NC,27704,DURHAM,20500,1,2,4,02/01/2019,01/31/2020,87.03,14,9255,30,10950,1,281,14,9255,1,281,,,,,6468034,16826905,61764505,256208,62020713,,,6468034,,,,62020713,,62020713,46848997,15171716,17174805,-2003089,2614619,611530,1958033,-1346503,
3756,713185,340069,WAKEMED RALEIGH CAMPUS,3000 NEW BERN AVENUE,RALEIGH,NC,27620-4465,WAKE,39580,1,1,2,10/01/2018,09/30/2019,4570,43323,177482,596,217540,10132,33669,20229,128244,10132,33669,63323533,123763696,89286379,90941805,311998078,820664781,2004299335,1836462197,3840761532,67822106,,330078638,17783916,3721752,.18,2004299333,1831839141,3836138474,2917788455,918350019,849823297,68526722,-24647568,43879154,,43879154,.204481
3807,713491,340004,HIGH POINT MEDICAL CENTER,HIGH POINT MEDICAL CENTER,HIGH POINT,NC,27260-,GUILFORD,24660,1,1,2,07/01/2019,06/30/2020,1533.52,9582,60019,288,105408,2270,13952,6750,50747,2270,13952,9268649,40705049,24012761,25765532,83396370,258230282,518267704,706472249,1224739953,23451496,,102397617,6686828,766127,.1191,518339769,706656307,1224996076,926355263,298640813,296359450,2281363,26596882,28878245,-346362,29224607,.206812
3808,713493,340097,HUGH CHATHAM MEMORIAL HOSPITAL,100 PARKWOOD DRIVE,ELKIN,NC,28621-,SURRY,99934,2,1,2,10/01/2018,09/30/2019,678.84,1929,13158,81,29565,994,3729,1255,12214,994,3729,2005616,16823019,6329601,6388234,46075692,74094970,80039205,220167076,300206281,7727808,,46075692,1119738,196986,.1087,85683798,259164457,344848255,243355726,101492529,103251591,-1759062,1823793,64731,,64731,.237178
3840,713681,342012,KINDRED HOSPITAL GREENSBORO,2401 SOUTHSIDE BOULEVARD,GREENSBORO,NC,27406,GUILFORD,24660,1,2,4,09/01/2019,08/31/2020,141.7,122,11488,101,36966,2,280,122,9730,2,280,,,,,12277045,26911057,88980522,1611823,90592345,1603969,,12277045,1467777,,,88983379,1608966,90592345,64742536,25849809,29386918,-3537109,155183,-3381926,,-3381926,
3875,713791,340013,RUTHERFORD HOSPITAL  INC.,288 S. RIDGECREST AVENUE,RUTHERFORDTON,NC,28139-,RUTHERFORD,99934,2,1,4,06/01/2019,05/31/2020,421.37,1342,10487,111,40626,333,2456,1159,8918,333,2456,2636324,20344074,6046892,6993824,28095539,48661869,115195535,209106139,324301674,5232776,,28095539,,175633,.0741,115195534,227039919,342235453,277233505,65001948,72335564,-7333616,799107,-6534509,,-6534509,.14631
3876,713792,340050,S.E. REGL MEDICAL CENTER,300 W. 27TH STREET,LUMBERTON,NC,28358-3075,ROBESON,99934,2,1,2,10/01/2018,09/30/2019,1638.26,13223,57730,246,89790,3801,12747,9320,49576,3801,12747,10996533,62621971,28490945,28575491,114199383,241858064,413512102,459075606,872587708,26045660,,114663196,3889205,2069206,.284,436585599,475186626,911772225,658246168,253526057,293934798,-40408741,25187498,-15221243,-799330,-14421913,.264711
3877,713793,340064,WRMC HOSPITAL OPERATING CORPORATION,1370 WEST D STREET,NORTH WILKESBORO,NC,28659-,WILKES,99934,2,1,8,07/01/2019,06/30/2020,467.49,1539,10346,77,28182,634,3168,682,7923,634,3168,3458307,8908616,6348820,7050454,26835307,71199515,92434721,179855779,272290500,8327603,,32170631,848448,168874,.1184,100579371,171718157,272297528,203269902,69027626,79758438,-10730812,14169981,3439169,1438327,2000842,.258159
3878,713794,340114,REX HOSPITAL,4420 LAKE BOONE TRAIL,RALEIGH,NC,27607-,WAKE,39580,1,1,2,07/01/2019,06/30/2020,3440.62,12090,120301,439,160674,2918,27363,7123,89370,2918,27363,9346609,39434800,25683142,25760179,450311151,791886763,1089234176,1528842637,2618076813,69797694,,449752419,1623700,954089,.0374,1248065748,1848833387,3096899135,1980225999,1116673136,1148045999,-31372863,101820000,70447137,73337000,-2889863,.295896
3911,713967,340002,MISSION HOSPITAL  INC,506 BILTMORE AVENUE,ASHEVILLE,NC,28801,,99934,2,1,4,02/01/2019,09/30/2019,4838.52,32383,142458,679,164318,5206,20902,23634,96399,5206,20902,19946624,13911875,29612744,29612744,212684257,609958744,1439322495,1248894608,2688217103,48598374,,200261723,10321626,3270257,.1283,1439476489,1277403869,2716880358,1855912275,860968083,847792072,13176011,120262397,133438408,,133438408,.2252
3912,713969,340010,WAYNE MEMORIAL HOSPITAL,2700 WAYNE MEMORIAL DRIVE,GOLDSBORO,NC,27533,WAYNE,24140,1,1,9,07/01/2019,06/30/2020,1328,8266,43830,239,87474,2502,8982,5849,36724,2502,8982,3382952,36759861,18919086,19069300,89233824,225140467,221004717,347578563,568583280,35016329,,89233824,4747575,1051958,.1394,221004716,366418646,587423362,361445740,225977622,237057891,-11080269,8156608,-2923661,14034970,-16958631,.387749
3913,713970,340017,MARGARET R. PARDEE MEMORIAL HOSPITAL,800 NORTH JUSTICE STREET,HENDERSONVILLE,NC,28791-,HENDERSON,11700,1,1,9,07/01/2019,06/30/2020,1241.11,2546,30317,160,58560,825,7982,1798,27473,825,7982,4274444,19547612,11331599,12758320,86832143,204979036,243517174,529848548,773365722,19125131,,86148829,6036707,320363,.0481,244001476,587757945,831759421,581898358,249861063,257363830,-7502767,13653549,6150782,,6150782,.262613
3914,713972,340030,DUKE UNIVERSITY HOSPITAL,610 DOUGLAS STREET,DURHAM,NC,27710-,DURHAM,20500,1,1,2,07/01/2019,06/30/2020,9170.93,64999,301091,953,348798,8153,40715,36516,205207,8153,40715,66551607,32993744,89751801,89751801,683433514,2016802844,3578598452,4512231371,8090829823,184325004,,683433514,23527508,6591653,.1661,3588121537,4657008045,8245129582,5723638947,2521490635,2485163913,36326722,110760339,147087061,,147087061,.24806
3915,713973,340040,PITT COUNTY MEMORIAL HOSPITAL,2100 STANTONSBURG ROAD,GREENVILLE,NC,27834-2818,PITT,24780,1,1,2,10/01/2018,09/30/2019,5862,59455,253419,847,309155,9884,40664,41871,200224,9884,40664,49672766,76695288,81571280,82149538,367963303,1007471050,2244112178,1044587489,3288699667,104308568,,367963303,30539400,9010057,.2156,2243684638,1045046584,3288731222,2074130478,1214600744,1194585916,20014828,87384226,107399054,,107399054,.30254
3916,713974,340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,500 JEFFERSON STREET,WHITEVILLE,NC,28472-,COLUMBUS,99934,2,1,8,10/01/2018,09/30/2019,506.03,3418,18758,154,56210,1050,4492,2747,16574,1050,4492,754514,15913776,4741829,4809680,29041428,70818947,99229718,183684760,282914478,6923193,,29041428,2580058,545629,.1922,102255641,187636443,289892084,211979080,77913004,80752919,-2839915,4316584,1476669,,1476669,.245731
3917,713975,340071,HARNETT HEALTH SYSTEM,800 TILGHMAN DRIVE,DUNN,NC,28334,HARNETT,99934,1,1,13,10/01/2018,09/30/2019,747.92,4633,18729,126,50857,1536,5514,3239,14900,1536,5514,5036789,48561975,16720996,16897231,45258647,79615712,116449779,280432678,396882457,10031181,,45258647,2152537,553241,.2066,116143052,294100602,410243654,310877877,99365777,100091477,-725700,2418188,1692488,,1692488,.192109
3918,713976,340073,DUKE RALEIGH HOSPITAL,3200 WAKE FOREST ROAD,RALEIGH,NC,27611-,WAKE,39580,1,1,2,07/01/2019,06/30/2020,1744.47,3817,48880,175,64050,583,9921,2922,37596,583,9921,18058559,10073265,29402916,42955925,127748395,438356948,492280902,1423354251,1915635153,34589472,,125049240,5409783,280880,.0266,499782142,1448145950,1947928092,1446168711,501759381,501289297,470084,27535931,28006015,,28006015,.225722
3919,713977,340087,THE MCDOWELL HOSPITAL,430 RANKIN DRIVE,MARION,NC,28752,,99934,2,1,4,02/01/2019,01/31/2020,222.01,1907,8179,30,10950,867,2341,1907,7513,867,2341,5669740,6253725,7750570,10746308,26071748,65479563,41968431,184529446,226497877,6356627,,23646388,249486,141117,.12,42026455,209307131,251333586,185560030,65773556,73440852,-7667296,643756,-7023540,131,-7023671,.286188
3920,713978,340107,VIDANT EDGECOMBE HOSPITAL,111 HOSPITAL DRIVE,TARBORO,NC,27886,EDGECOMBE,40580,1,1,2,10/01/2018,09/30/2019,434.13,2695,14240,101,36865,876,3259,1392,9123,876,3259,4927938,9759394,9644546,11705146,27832151,68747984,104640531,159810207,264450738,7921817,314390,27832151,1342175,488790,.1705,104640530,159810208,264450738,176344686,88106052,88768402,-662350,1657447,995097,,995097,.259763
3921,713980,340151,HALIFAX REGIONAL MEDICAL CENTER,250 SMITH CHURCH ROAD,ROANOKE RAPIDS,NC,27870-,HALIFAX,99934,2,1,2,10/01/2018,09/30/2019,650.13,2923,19368,106,38690,1248,4302,2106,17085,1248,4302,3179679,14568291,7921890,8108973,34963377,83140639,119718797,135235504,254954301,8036014,,34949600,856753,422601,.12,121026045,151592339,272618384,188342450,84275934,88367090,-4091156,-864101,-4955257,,-4955257,.317315
3922,713981,340155,DUKE REGIONAL HOSPITAL,3643 NORTH ROXBORO ROAD,DURHAM,NC,27704-2763,DURHAM,20500,1,1,9,07/01/2019,06/30/2020,1695.62,11896,69847,301,110166,2675,14315,6374,54558,2675,14315,25058172,10313322,34010478,36863773,138850410,316507421,587774718,635811009,1223585727,34217933,,138850410,6222272,1147348,.1177,597339820,713550541,1310890361,944237250,366653111,400274581,-33621470,30522877,-3098593,,-3098593,.253809
3986,714396,342020,SSH -GREENSBORO,1200 NORTH ELM STREET 5TH FLOOR,GREENSBORO,NC,27401,GUILFORD,24660,1,2,4,05/01/2019,04/30/2020,96.02,12,9894,30,10950,1,354,12,9894,1,354,,,,,7320655,14380722,74626897,,74626897,,,7320655,,,,74624835,,74624835,58704389,15920446,14704368,1216078,3190093,4406171,2226513,2179658,
4185,715916,342013,PAM SPECIALTY HOSP. OF ROCKY MOUNT,1051 NOELL LANE,ROCKY MOUNT,NC,27804,NASH,40580,1,2,4,09/30/2019,08/31/2020,156.33,,13309,50,16850,,442,,13309,,442,,,,,8251742,20230277,136102750,180930,136283680,,,,,,,136136340,147340,136283680,112797586,23486094,20547954,2938140,553977,3492117,416783,3075334,
4266,716225,340143,CATAWBA VALLEY MEDICAL CENTER,810 FAIRGROVE CHURCH ROAD SE,HICKORY,NC,28602-,CATAWBA,25860,1,1,9,07/01/2019,06/30/2020,1337.64,11697,36550,203,74298,3115,11068,4486,23643,3115,11068,4588507,43668689,16260348,16381589,103785500,219665562,331558884,660353778,991912662,27609559,,103604193,2854284,1115857,.1958,354505872,719773239,1074279111,799988842,274290269,255930033,18360236,13578367,31938603,,31938603,.219885
