,RPT_REC_NUM,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE-Employees  on Payroll,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),"Hospital Total Days Title XIX for
Adults & Peds",Hospital Total Days (V + XVIII + XIX + Unknown) for Adults & Peds,"Hospital Total Discharges Title XIX for
Adults & Peds",Hospital Total Discharges (V + XVIII + XIX + Unknown) for Adult,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated  Care,"Total Unreimbursed  and
Uncompensated  Care",Total Salaries From Worksheet A,Total Costs,Inpatient Total Charges,Outpatient Total Charges,"Combined Outpatient + Inpatient
Total Charges",Wage-related  Costs (core),Wage-related  costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Disproportionate Share Adjustment,Allowable DSH Percentage,Inpatient Revenue,Outpatient Revenue,Gross Revenue,"Less Contractual Allowance and
Discounts on Patients' Accounts",Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
3888,733569,340085,THOMASVILLE MEDICAL CENTER,207 OLD LEXINGTON ROAD,THOMASVILLE,NC,27360,DAVIDSON,49180,1,1,2,01/01/2020,12/31/2020,447.48,3396,13873,78,28548,1301,3406,2047,10048,1301,3406,7751985,11868058,10669149,10669149,33066226,82025082,134916790,193506225,328423015,8069996,,33635263,544413,149003,.12,136114944,196977573,333092517,233466674,99625843,94214021,5411822,5735498,11147320,,11147320,.242585
3889,733575,340132,MARIA PARHAM MEDICAL CENTER,566 RUIN CREEK ROAD,HENDERSON,NC,27536-,VANCE,99934,2,1,4,11/01/2019,10/31/2020,577.08,3312,17815,104,37906,1219,3771,1853,11269,1219,3771,4895874,48986995,13742015,13751406,40600153,92665978,162670013,365725652,528395665,7161218,,40600153,2536791,514997,.1791,162673722,384855522,547529244,436630716,110898528,127091497,-16192969,18462042,2269073,,2269073,.17299
4160,734087,340002,MISSION HOSPITAL  INC,509 BILTMORE AVENUE,ASHEVILLE,NC,28801,,99934,2,1,4,10/01/2019,09/30/2020,4170.88,41300,203900,733,268062,8195,43122,27765,127594,8195,43122,59199989,42613119,74367010,74367010,279002413,830197014,2398789598,1755705479,4154495077,65636345,,290632353,5737977,4690456,.1359,2401869032,1783244224,4185113256,3157904796,1027208460,1156550593,-129342133,136672960,7330827,7437189,-106362,.198131
4161,734089,340020,CENTRAL CAROLINA HOSPITAL,1135 CARTHAGE STREET,SANFORD,NC,27330,LEE,99934,2,1,4,01/01/2020,12/31/2020,438.81,2357,12152,127,46482,850,3077,1593,9087,850,3077,3180984,15863001,5524305,5540578,28689420,53902292,166873381,216297939,383171320,4034573,,28689420,2051032,288799,.12,167406640,237502301,404908941,333582608,71326333,77221605,-5895272,11776801,5881529,216320,5665209,.137112
4162,734092,340041,CALDWELL MEMORIAL HOSPITAL,321 MULBERRY STREET,LENOIR,NC,28645-,CALDWELL,25860,1,1,13,07/01/2020,06/30/2021,730.6,2936,27301,137,50005,767,4754,2004,22816,767,4754,3347909,12523618,6799233,6851686,58376948,111585453,147441196,273540347,420981543,14061531,,57757221,84887,265728,.089,148000517,306044414,454044931,316412418,137632513,140268366,-2635853,8473959,5838106,,5838106,.26237
4163,734094,340075,BLUE RIDGE HEALTHCARE HOSPITALS,2201 SOUTH STERLING STREET,MORGANTON,NC,28655,BURKE,25860,1,1,2,01/01/2020,12/31/2020,1262.77,4560,27149,156,57096,1488,5884,3005,22840,1488,5884,6597652,30038724,11752663,11848712,80108066,146103253,261213473,645016657,906230130,12619523,,79202589,67658,552357,.176,276274243,661974776,938249019,725736296,212512723,204145994,8366729,51299870,59666599,,59666599,.156999
4164,734096,340098,ATRIUM HEALTH PINEVILLE,10628 PARK ROAD,CHARLOTTE,NC,28210-8407,MECKLENBURG,16740,1,1,11,01/01/2020,12/31/2020,1405.04,4797,70617,224,81984,1122,15751,3595,59813,1122,15751,15060706,59859287,25504299,28579950,99721319,312902588,886601666,892355334,1778957000,23796545,,97083769,2266414,527608,.0452,911474556,867534034,1779008590,1324492643,454515947,316765996,137749951,30604898,168354849,,168354849,.170684
4165,734097,340107,VIDANT EDGECOMBE HOSPITAL,111 HOSPITAL DRIVE,TARBORO,NC,27886,EDGECOMBE,40580,1,1,2,10/01/2019,09/30/2020,421.32,2527,13783,101,36966,845,3026,1393,10735,845,3026,4886189,10465671,9609446,9667873,27059397,67683553,96699727,146411891,243111618,7813151,313138,27059397,910373,483158,.1841,96719703,146391914,243111617,156165564,86946053,85446336,1499717,8655395,10155112,,10155112,.276908
4166,734098,340116,FRYE REGIONAL MEDICAL CENTER,420 NORTH CENTER STREET,HICKORY,NC,28601,CATAWBA,25860,2,1,4,10/01/2019,09/30/2020,1038.36,2695,27133,226,82716,,6010,1784,21703,,6010,5916084,18708352,8868586,8868586,82683095,173884233,526736126,673507144,1200243270,10723029,,82683095,3821951,165299,.0289,526554166,728406909,1254961075,1040301799,214659276,233913453,-19254177,6939472,-12314705,,-12314705,.142355
4167,734100,340120,DUPLIN GENERAL HOSPITAL,HIGHWAY 11  NORTH MAIN STREET,KENANSVILLE,NC,28349,DUPLIN,99934,2,1,2,10/01/2019,09/30/2020,358.98,2556,11202,49,17934,909,2471,1326,8071,909,2471,4329080,6998637,7797755,8013537,21298419,47322466,64136785,82535976,146672761,5258407,,21298419,245484,177213,.12,64136785,82535976,146672761,86938549,59734212,58295983,1438229,4557114,5995343,,5995343,.316842
4168,734103,340158,BRUNSWICK COMMUNITY HOSPITAL,240 HOSPITAL DRIVE NE,BOLIVIA,NC,28422,BRUNSWICK,34820,2,1,2,01/01/2020,12/31/2020,419.6,2389,14783,59,21594,1036,3745,1478,10115,1036,3745,6292245,7767976,7898184,7898184,31470083,92942765,151726641,283518829,435245470,7737416,,31502208,279789,250512,.0815,153668284,288268857,441937141,330852929,111084212,105959467,5124745,11759833,16884578,,16884578,.201652
4169,734104,340166,ATRIUM HEALTH UNIVERSITY CITY,8800 NORTH TRYON STREET,CHARLOTTE,NC,28256-5009,MECKLENBURG,16740,1,1,11,01/01/2020,12/31/2020,779.61,5663,30558,100,36600,1525,6666,3530,23327,1525,6666,15120798,52230816,23785447,23970351,53792960,152642278,281407668,629106919,910514587,13288128,,52043732,1760180,299721,.12,294701466,618169469,912870935,699252598,213618337,156849417,56768920,9824778,66593698,3125,66590573,.161988
4170,734105,340186,VIDANT BEAUFORT HOSPITAL,628 E. 12TH STREET,WASHINGTON,NC,27889,,99934,2,1,2,10/01/2019,09/30/2020,495.98,2074,13427,69,25254,655,2963,1389,11977,655,2963,4071839,7756796,7464675,8077615,25497379,74183602,63926155,146104808,210030963,6731209,,25497379,1007106,271217,.118,63926156,146104807,210030963,129609084,80421879,85267663,-4845784,8170353,3324569,31083,3293486,.346631
4252,734254,340130,ATRIUM HEALTH UNION,600 HOSPITAL DRIVE,MONROE,NC,28111,UNION,16740,1,1,11,01/01/2020,12/31/2020,886.32,6202,38320,182,66612,1790,8285,4214,31596,1790,8285,13553584,39082153,21246033,21445259,61875821,195639303,363850819,629570164,993420983,16515023,,59411854,2902488,665045,.1257,363849745,629936385,993786130,755585546,238200584,199129587,39070997,49891915,88962912,26430927,62531985,.19069
4253,734255,340188,CAPE FEAR VALLEY HOKE HOSPITAL,210 MEDICAL PAVILION DRIVE,RAEFORD,NC,28376,HOKE,22180,1,1,9,10/01/2019,09/30/2020,266.96,392,2785,41,15006,148,1187,365,2635,148,1187,2365481,22997893,7148398,9088495,16241527,38589487,28597215,152490506,181087721,1383802,,16241527,298156,74345,.12,30362049,159528168,189890217,146612118,43278099,39132058,4146041,2896939,7042980,,7042980,.20124
4379,734441,340003,NORTHERN HOSP OF SURRY CO,830 ROCKFORD STREET,MOUNT AIRY,NC,27030,SURRY,99934,2,1,11,10/01/2019,09/30/2020,683.11,1596,14362,100,36600,635,3962,881,11309,635,3962,2511696,9146956,6100699,6100699,46066417,77732898,60195448,142210914,202406362,7890477,,46066417,2530868,153141,.0803,61200315,169785572,230985887,141394901,89590986,103791943,-14200957,19001261,4800304,,4800304,.378176
4380,734442,340016,HARRIS REGIONAL HOSPITAL,68 HOSPITAL ROAD,SYLVA,NC,28779-,JACKSON,99934,2,1,4,08/01/2020,07/31/2021,592.58,2763,13476,82,29930,988,2582,1565,8609,988,2582,2575801,16947254,5573878,8290192,42593420,73206938,126008429,308948748,434957177,7561743,,42593420,1017427,274666,.12,126247958,341054855,467302813,347377459,119925354,115700320,4225034,4089793,8314827,,8314827,.166692
4381,734443,340021,ATRIUM HEALTH CLEVELAND,201 EAST GROVER STREET,SHELBY,NC,28150,CLEVELAND,99934,2,1,11,01/01/2020,12/31/2020,1309.52,8002,53130,308,112728,2671,11175,4381,35644,2671,11175,16972326,44031571,26102348,30276340,85238164,252238771,481753343,771417230,1253170573,22417931,,82690848,2185944,799672,.1129,491808844,762156726,1253965570,968576034,285389536,258610379,26779157,86960613,113739770,42363716,71376054,.197004
4382,734445,340040,PITT COUNTY MEMORIAL HOSPITAL,2100 STANTONSBURG ROAD,GREENVILLE,NC,27834-2818,PITT,24780,1,1,2,10/01/2019,09/30/2020,5591.59,57145,232381,847,310002,9830,37767,45907,181623,9830,37767,53307000,64616018,81248950,81724104,368344775,971510493,2114442277,984057565,3098499842,102881794,,368344775,29742311,8640983,.2245,2126590010,971285662,3097875672,1948007999,1149867673,1196139275,-46271602,162435585,116163983,,116163983,.31092
4383,734446,340042,ONSLOW MEMORIAL HOSPITAL,241 NEW RIVER DRIVE,JACKSONVILLE,NC,28540,ONSLOW,27340,1,1,9,10/01/2019,09/30/2020,827.3,6608,30983,162,59292,2096,6928,3956,25042,2096,6928,5520401,35416599,16457481,16457481,50915957,113599713,132858317,273351322,406209639,12857218,,50915957,2314226,610158,.1757,132583316,273626320,406209636,276488395,129721241,132442331,-2721090,11496208,8775118,431998,8343120,.275326
4384,734447,340050,S.E. REGL MEDICAL CENTER,300 W. 27TH STREET,LUMBERTON,NC,28358-3075,ROBESON,99934,2,1,2,10/01/2019,09/30/2020,1484.66,10729,56818,258,94428,3412,12445,7380,48921,3412,12445,16642598,36820620,29892673,29896131,102646102,235877627,407896140,434924850,842820990,28443108,,102646102,3928408,1756269,.2606,409475683,436362282,845837965,596506531,249331434,277602107,-28270673,54772438,26501765,,26501765,.271035
4385,734448,340051,WATAUGA MEDICAL CENTER,336 DEERFIELD ROAD,BOONE,NC,28607-,WATAUGA,99934,2,1,9,10/01/2019,09/30/2020,609,1518,13427,95,34770,628,3838,965,10276,628,3838,264326,18951379,7726022,7726022,44214471,119686236,116999922,292349939,409349861,8574841,,44214471,618440,185438,.0544,124601988,306487084,431089072,280279792,150809280,139132291,11676989,9980348,21657337,11100270,10557067,.285826
4386,734450,340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,500 JEFFERSON STREET,WHITEVILLE,NC,28472-,COLUMBUS,99934,2,1,8,10/01/2019,09/30/2020,472.26,2863,17074,154,56364,921,4011,2184,15258,921,4011,395738,14170470,3922931,3922931,28444038,72221887,107213580,187432788,294646368,6671786,,28444038,2690316,450847,.1609,110089004,190716852,300805856,223963107,76842749,83184239,-6341490,11912196,5570706,,5570706,.240151
4387,734453,340099,VIDANT ROANOKE CHOWAN HOSPITAL,500 SOUTH ACADEMY STREET,AHOSKIE,NC,27910,HERTFORD,99934,2,1,2,10/01/2019,09/30/2020,430.26,2171,14136,70,25620,696,2922,1367,11336,696,2922,3855086,9001707,8037355,9182510,28454657,70061060,92855530,111513768,204369298,8315863,,28454657,1499297,297935,.12,92855530,111513768,204369298,118589308,85779990,87991349,-2211359,7320925,5109566,,5109566,.333795
4388,734454,340109,SENTARA ALBEMARLE REGL MED CTR LLC,1144 NORTH ROAD STREET,ELIZABETH CITY,NC,27909,PASQUOTANK,99934,2,1,2,01/01/2020,12/31/2020,510.32,1642,17154,98,35868,703,4417,1219,14061,703,4417,8256375,15138160,15122822,21710664,35384275,130690114,147635169,250801040,398436209,12058066,,36780310,92155,317694,.0778,142347225,255528903,397876128,281575142,116300986,137358897,-21057911,12542716,-8515195,,-8515195,.315263
4389,734457,340145,ATRIUM HEALTH LINCOLN,433 MCALISTER ROAD,LINCOLNTON,NC,28092,LINCOLN,16740,2,1,11,01/01/2020,12/31/2020,529.99,3074,19779,101,36966,1070,4696,2202,16329,1070,4696,7612660,24541346,12143505,12257281,35312460,110781145,191418653,425348200,616766853,9191224,,34102023,596477,263688,.1023,200310894,416479217,616790111,461192184,155597927,111464916,44133011,9202696,53335707,,53335707,.173802
4390,734458,340147,NASH HOSPITALS INC,2460 CURTIS ELLIS DR,ROCKY MOUNT,NC,27804,NASH,40580,1,1,9,07/01/2020,06/30/2021,1425,9722,54698,322,117530,2501,11799,6527,46455,2501,11799,3421811,41159843,13991607,14076911,107321973,232718913,422349612,615102465,1037452077,22471222,,94719071,10249674,1432471,.1784,421203553,621342769,1042546322,719706086,322840236,309210574,13629662,32821926,46451588,,46451588,.2208
4391,734459,340159,PERSON MEMORIAL HOSPITAL INC,615 RIDGE ROAD,ROXOBORO,NC,27573,PERSON,20500,1,1,4,07/01/2020,06/30/2021,150.31,300,3260,38,13870,85,915,172,2170,85,915,1247458,16822364,3956670,5441106,11369074,25884853,41245143,118785987,160031130,1704990,,11369074,,39721,.0739,46523188,118785311,165308499,132467695,32840804,36382412,-3541608,2234930,-1306678,,-1306678,.157504
4392,734460,340168,WILMINGTON TREATMENT CENTER INC,2520 TROY DRIVE,WILMINGTON,NC,28401,NEW HANOVER,48900,1,1,4,01/01/2020,12/31/2020,197.13,,17879,92,33672,,707,,17879,,707,68655,2248002,1396243,1396243,8816076,16757588,23551299,38705975,62257274,1915805,,8816076,,15783,.0271,25126305,38705975,63832280,38050685,25781595,20124715,5656880,487116,6143996,485380,5658616,.269167
4551,734729,340097,HUGH CHATHAM MEMORIAL HOSPITAL,100 PARKWOOD DRIVE,ELKIN,NC,28621-,SURRY,99934,2,1,2,10/01/2019,09/30/2020,642.46,1890,12773,81,29646,979,3565,1304,11963,979,3565,2450064,18102480,7407179,7445054,48230777,79011502,81997207,213895499,295892706,7755143,,48230777,1341613,127418,.0837,85287224,253859131,339146355,244503858,94642497,107692266,-13049769,25940888,12891119,,12891119,.258145
4552,734731,344007,OLD VINEYARD,3637 OLD VINEYARD ROAD,WINSTON SALEM,NC,27004,FORSYTH,49180,1,4,4,01/01/2020,12/31/2020,262.99,1306,49319,164,60024,123,5672,1306,49319,123,5672,,,,,15335597,24884842,78892800,1408500,80301300,,,,,,,78892800,1408500,80301300,48395948,31905352,26907778,4997574,1170226,6167800,,6167800,
4695,734961,340023,ADVENTHEALTH HENDERSONVILLE,100 HOSPITAL DRIVE,HENDERSONVILLE,NC,28792-,HENDERSON,11700,1,1,1,01/01/2020,12/31/2020,958.74,1778,12614,73,26718,695,3198,1051,10759,695,3198,5237691,8081217,8047109,11612989,81961082,152366729,171961581,382079321,554040902,10121986,,81916946,6792776,322989,.1387,94750964,555724130,650475094,452569867,197905227,209376651,-11471424,28206460,16735036,,16735036,.272197
4696,734962,340131,CAROLINAEAST MEDICAL CENTER,2000 NEUSE BOULEVARD,NEW BERN,NC,28561,CRAVEN,35100,1,1,9,10/01/2019,09/30/2020,2266.69,6282,62612,276,101016,1530,12343,3901,43359,1530,12343,8916711,27163101,16508643,16508643,167994323,274469371,436658505,633721361,1070379866,26549170,,167994323,801850,968757,.0716,633963943,646847054,1280810997,862974230,417836767,431677458,-13840691,60831509,46990818,1503054,45487764,.253578
4697,734963,340142,CARTERET COUNTY GENERAL HOSPITAL COM,3500 ARENDELL STREET,MOREHEAD CITY,NC,28557-,CARTERET,99934,2,1,8,10/01/2019,09/30/2020,939.3,1762,22341,99,36234,739,5388,1132,19285,739,5388,555776,34464838,12132678,13895753,61558973,133870996,114686557,312541169,427227726,12516297,,61558973,1042276,141473,.0341,122627398,327634568,450261966,283703107,166558859,152744438,13814421,7444344,21258765,,21258765,.308557
4698,734964,340151,HALIFAX REGIONAL MEDICAL CENTER,250 SMITH CHURCH ROAD,ROANOKE RAPIDS,NC,27870-,HALIFAX,99934,2,1,2,10/01/2019,09/30/2020,600.37,3097,21217,100,36600,1275,4291,2210,18464,1275,4291,3567689,16152454,9417240,10575032,35539853,87230048,107535848,130166385,237702233,7887164,,35498620,1628017,433270,.12,108931004,144934699,253865703,172432309,81433394,86925238,-5491844,8909131,3417287,,3417287,.357055
4826,735181,340032,GASTON MEMORIAL HOSPITAL,2525 COURT DRIVE,GASTONIA,NC,28054,GASTON,16740,1,1,2,07/01/2020,06/30/2021,2681.73,16392,118898,393,143445,4025,22641,11551,103164,4025,22641,28309614,61392874,41583014,42782191,188933314,468067912,1100926575,1124396166,2225322741,59236539,,188933314,,1524346,.1028,1100705958,1124626083,2225332041,1662811013,562521028,499884577,62636451,37411459,100047910,-1201979,101249889,.206505
4861,735272,342018,SSH - DURHAM,3643 NORTH ROXBORO RD,DURHAM,NC,27704,DURHAM,20500,1,2,4,02/01/2020,01/31/2021,96.81,,10451,30,10980,,283,,10451,,283,,,,,7384233,19013590,90326983,,90326983,,,7384233,,,,90326982,,90326982,70794110,19532872,20027548,-494676,3817869,3323193,546652,2776541,
5006,735786,344032,TRIANGLE SPRINGS,10901 WORLD TRADE BLVD,RALEIGH,NC,27617,WAKE,39580,1,4,4,01/01/2020,12/31/2020,134.64,15,22844,77,28182,2,3001,15,22844,2,3001,,,,,9536695,17989420,47417900,8138082,55555982,,,,,,,47417900,11883664,59301564,39447712,19853852,17789403,2064449,37618,2102067,,2102067,
5185,736473,340030,DUKE UNIVERSITY HOSPITAL,610 DOUGLAS STREET,DURHAM,NC,27710-,DURHAM,20500,2,1,2,07/01/2020,06/30/2021,9759.13,68485,315983,960,350485,8065,40906,36863,216526,8065,40906,64730158,61805682,103045086,103045086,752013606,2151180997,3770662374,5005401760,8776064134,201070297,,752013606,20437239,6497950,.1639,3795110295,5200908463,8996018758,6320478527,2675540231,2672551167,2989064,120060236,123049300,,123049300,.243962
5246,736728,340115,FIRSTHEALTH MOORE REGIONAL HOSPITAL,35 MEMORIAL DRIVE,PINEHURST,NC,28374-,MOORE,99934,2,1,2,10/01/2019,09/30/2020,2972.75,13999,101081,412,150792,4202,22785,8325,70057,4202,22785,8849711,110109426,36655665,40956062,220076975,482187225,1175682778,1295424009,2471106787,39718294,,203079808,8715764,1881000,.0869,1220632064,1330209947,2550842011,1854577985,696264026,633930026,62334000,129649193,191983193,55043951,136939242,.192654
5575,738075,340008,SCOTLAND MEMORIAL HOSPITAL,500 LAUCHWOOD DRIVE,LAURINBURG,NC,28352-,SCOTLAND,99934,2,1,2,10/01/2019,09/30/2020,799.32,5134,23015,97,35502,1731,6518,3148,18662,1731,6518,8248009,27320618,15158492,17298289,59942611,131697621,189551911,362870774,552422685,14604174,1552703,59942611,1333015,424986,.12,204708444,379747944,584456388,416598952,167857436,164929953,2927483,23204110,26131593,3230855,22900738,.231773
5640,738568,340184,HAYWOOD REGIONAL MEDICAL CENTER,262 LEROY GEORGE DRIVE,CLYDE,NC,28721-,HAYWOOD,11700,1,1,4,08/01/2020,07/31/2021,694.15,1900,15966,121,44165,566,3622,1038,13218,566,3622,3352408,23457774,7776358,7776358,52041146,92551493,161843891,342390036,504233927,7646645,,52041146,1552215,199984,.0632,162412002,372113285,534525287,403218622,131306665,130201505,1105160,6893335,7998495,,7998495,.180486
5658,738678,340013,RUTHERFORD HOSPITAL  INC.,288 S. RIDGECREST AVENUE,RUTHERFORDTON,NC,28139-,RUTHERFORD,99934,2,1,4,06/01/2020,05/31/2021,395.45,1426,10391,119,43435,509,2397,1066,8597,509,2397,2527434,11003844,4256113,4913701,29224745,50707839,126053559,229671241,355724800,4465155,,29224745,1294100,166627,.0804,126053559,249443433,375496992,302196064,73300928,77219232,-3918304,11705859,7787555,,7787555,.140347
5659,738679,340070,ALAMANCE REGIONAL MEDICAL CENTER,1240 HUFFMAN MILL ROAD,BURLINGTON,NC,27215,ALAMANCE,15500,1,1,2,10/01/2019,09/30/2020,1271.31,7253,40250,176,64416,2134,10579,3897,32771,2134,10579,9984145,35511777,19847505,19999541,87212518,220780207,294228574,501370382,795598956,19038672,,87212518,996824,647206,.1205,301970372,514562535,816532907,512863827,303669080,218171728,85497352,15825399,101322751,,101322751,.273778
5660,738680,340073,DUKE RALEIGH HOSPITAL,3200 WAKE FOREST ROAD,RALEIGH,NC,27611-,WAKE,39580,1,1,2,07/01/2020,06/30/2021,1860.72,4067,51468,175,63875,600,9833,3105,39607,600,9833,14376432,18308631,24300805,38683398,138726329,469144947,523606172,1591328586,2114934758,37247260,,138061726,3558708,283432,.0266,538025963,1634998135,2173024098,1608178270,564845828,539634380,25211448,33830102,59041550,,59041550,.219131
5661,738681,340087,THE MCDOWELL HOSPITAL,430 RANKIN DRIVE,MARION,NC,28752,MC DOWELL,99934,2,1,4,02/01/2020,01/31/2021,221.07,1393,7210,30,10980,602,1823,999,6661,602,1823,5926571,4378070,8093552,10053356,23321955,56371177,43803039,158477986,202281025,4059101,1129036,23321955,,105750,.1189,43857459,169815751,213673210,166034074,47639136,63610470,-15971334,344846,-15626488,,-15626488,.27558
5662,738682,340126,WILSON MEDICAL CENTER,1705 SOUTH TARBORO STREET,WILSON,NC,27893,WILSON,99934,1,1,2,03/01/2020,02/28/2021,672.73,4338,28367,270,98550,1494,6194,2680,24442,1494,6194,4698579,27377316,9231399,9231399,47522067,94235649,277789418,317286358,595075776,7759326,,47522067,5544836,704272,.1281,285565212,329089870,614655082,480128874,134526208,133181748,1344460,9820081,11164541,,11164541,.156575
5663,738683,340155,DUKE REGIONAL HOSPITAL,3643 NORTH ROXBORO ROAD,DURHAM,NC,27704-2763,DURHAM,20500,2,1,9,07/01/2020,06/30/2021,1868.77,12113,74939,301,109865,2793,14800,6946,59758,2793,14800,23587765,15392625,31173328,31723260,155030929,347111306,626004859,722328167,1348333026,37902505,,155030929,7999575,1090317,.1128,643660300,814878804,1458539104,1046666163,411872941,445826344,-33953403,13054413,-20898990,,-20898990,.253483
5727,738811,340190,NOVANT HEALTH MINT HILL MEDICAL CTR,8201 HEALTHCARE LOOP,CHARLOTTE,NC,28215-7072,,16740,1,1,2,01/01/2020,12/31/2020,291.62,1470,8921,28,10248,644,2500,895,6517,644,2500,4048619,9122854,7663635,7663635,22959850,64462417,76366600,189266448,265633048,5745809,,22987221,67935,93868,.0911,76972037,190200365,267172402,187376710,79795692,79159752,635940,1014543,1650483,2,1650481,.233162
5784,738921,342020,SSH -GREENSBORO,1200 NORTH ELM STREET 5TH FLOOR,GREENSBORO,NC,27401,GUILFORD,24660,1,2,4,05/01/2020,04/30/2021,114.67,,10567,30,10980,,365,,10567,,365,,,,,7746627,15636006,94764918,,94764918,,,7746627,,,,94764919,,94764919,77507587,17257332,15699838,1557494,4245485,5802979,2588586,3214393,
5897,739094,340001,ATRIUM HEALTH CABARRUS,920 CHURCH STREET  NORTH,CONCORD,NC,28025-2927,CABARRUS,16740,1,1,11,01/01/2020,12/31/2020,2498.17,21948,113679,447,163602,4946,24909,14356,95770,4946,24909,25943563,73347403,40462166,40792069,170036357,486483307,1270871464,1191545312,2462416776,42697164,,170021357,8635107,1836669,.1254,1298879652,1165804871,2464684523,1874605140,590079383,513582288,76497095,106143149,182640244,,182640244,.19204
5898,739095,340010,WAYNE MEMORIAL HOSPITAL,2700 WAYNE MEMORIAL DRIVE,GOLDSBORO,NC,27533,WAYNE,24140,1,1,2,07/01/2020,06/30/2021,1252.8,8891,47647,239,87235,2397,9299,6496,40059,2397,9299,3236836,31607573,14910060,15058328,92527150,230329889,254351817,402590740,656942557,36444797,,92527150,5814490,1000187,.1292,254351818,425085196,679437014,412967024,266469990,243748303,22721687,86726570,109448257,13932607,95515650,.346075
5899,739096,340024,SAMPSON REGIONAL MEDICAL CENTER,607 BEAMAN STREET,CLINTON,NC,28328-,SAMPSON,99934,2,1,2,10/01/2019,09/30/2020,439.41,1855,9464,59,21594,895,2818,1051,7063,895,2818,2438170,12104133,5338160,5341932,28179683,40973674,56138302,117803876,173942178,4174278,,28179683,2261131,268376,.1723,56311890,136488972,192800862,130441140,62359722,64311063,-1951341,3148226,1196885,500,1196385,.229444
5900,739097,340061,UNIVERSITY OF NORTH CAROLINA HOSP.,101 MANNING DRIVE,CHAPEL HILL,NC,27514,ORANGE,20500,1,1,13,07/01/2020,06/30/2021,8376.52,73202,257514,809,295117,10100,32909,58790,209841,10100,32909,57357505,98030514,90851793,92534036,622832465,2031830024,2615804312,3624555078,6240359390,168575596,,622448265,12727985,813759,.2146,2615758979,3359081052,5974840031,3613265604,2361574427,2141232246,220342181,425004736,645346917,128706083,516640834,.322624
5901,739098,340084,ATRIUM HEALTH ANSON,2301 US HIGHWAY 74 WEST,WADESBORO,NC,28170-,ANSON,99934,1,1,11,01/01/2020,12/31/2020,114.1,168,1309,15,5490,74,450,168,1309,74,450,2394004,4687215,3303905,4257686,7707826,18212851,11015553,81336894,92352447,1984811,,7707826,,16408,.12,12317695,82716095,95033790,74866064,20167726,19561634,606092,6722198,7328290,,7328290,.188575
5902,739099,340090,JOHNSTON HEALTH,509 NORTH BRIGHTLEAF BLVD,SMITHFIELD,NC,27577,JOHNSTON,39580,1,1,11,07/01/2020,06/30/2021,1218.25,8705,44897,179,65335,3315,11434,5762,37941,3315,11434,4262170,37795245,12171573,12248446,95512456,238823326,446983465,719827700,1166811165,21520978,,95512456,3986744,930816,.1345,446983464,745300773,1192284237,921947195,270337042,255747361,14589681,13097679,27687360,13614110,14073250,.199928
5903,739100,340091,THE MOSES H. CONE MEMORIAL HOSPITAL,1200 NORTH ELM ST,GREENSBORO,NC,27401-,GUILFORD,24660,2,1,2,10/01/2019,09/30/2020,5599.46,39271,200040,775,283467,9497,41331,21855,147951,9497,41331,45366813,138473590,90818532,92637086,418878932,1072047434,1545184834,1672217321,3217402155,86162012,,416117379,7633961,3575830,.1612,1643982728,1779191254,3423173982,2106035885,1317138097,1046680175,270457922,67855802,338313724,,338313724,.32721
5904,739101,340113,CAROLINAS MEDICAL CENTER,1000 BLYTHE BLVD,CHARLOTTE,NC,28232,MECKLENBURG,16740,1,1,11,01/01/2020,12/31/2020,10171.76,81563,314549,1119,409554,13223,56935,40703,193882,13223,56935,102071907,198053080,147969736,149508305,833952515,2151529574,4492153575,4838144506,9330298081,166428048,,834665019,7753842,8560266,.2501,4667891800,4417711729,9085603529,6600205353,2485398176,2505119734,-19721558,795879166,776157608,,776157608,.226387
5905,739102,340114,REX HOSPITAL,4420 LAKE BOONE TRAIL,RALEIGH,NC,27607-,WAKE,39580,1,1,13,07/01/2020,06/30/2021,3403.01,15339,139322,439,160235,3367,27530,9189,107373,3367,27530,11522500,32012367,23152095,23183500,473452520,835690392,1162542923,1681929950,2844472873,78197374,,473679988,6792779,981655,.0387,3388108787,,3388108787,2172046787,1216062000,1242688000,-26626000,205061000,178435000,49695000,128740000,.287853
5906,739103,340119,ATRIUM HEALTH STANLY,301 YADKIN STREET,ALBEMARLE,NC,28001,STANLY,16740,1,1,11,01/01/2020,12/31/2020,446.66,2352,13165,97,35502,849,3409,870,9844,849,3409,5135381,15041097,8067154,8128201,31446573,80948500,158884969,252291341,411176310,8057963,,29672517,1770816,223817,.1052,165318766,245859767,411178533,317923600,93254933,81252352,12002581,14799706,26802287,,26802287,.188283
